Edition_year,Player_name,Votes,Rank
2018,Kyle Lowry,322036,25
2018,Bradley Beal,269238,26
2018,Andre Drummond,220736,27
2017,LeBron James,1893751,1
2017,Stephen Curry,1848121,2
2017,James Harden,1771375,3
2017,Kevin Durant,1768185,4
2017,Kyrie Irving,1696769,5
2017,Giannis Antetokounmpo,1604463,6
2017,Russell Westbrook,1575865,7
2017,Kawhi Leonard,1058399,8
2017,Klay Thompson,1054304,9
2017,Anthony Davis,974802,10
2017,Draymond Green,914973,11
2017,Kevin Love,909488,12
2017,DeMar DeRozan,796112,13
2017,Isaiah Thomas,755102,14
2017,Jimmy Butler,691072,15
2017,DeMarcus Cousins,654274,16
2017,Carmelo Anthony,544133,17
2017,Kyle Lowry,471697,18
2017,Paul George,426325,19
2017,John Wall,301437,20
2017,Marc Gasol,273705,21
2017,DeAndre Jordan,237708,22
2017,Kemba Walker,170299,23
2017,Gordon Hayward,160209,24
2016,Kobe Bryant,1891614,1
2016,Stephen Curry,1604325,2
2016,LeBron James,1089206,3
2016,Kevin Durant,980787,4
2016,Dwyane Wade,941466,5
2016,Kawhi Leonard,782339,6
2016,Russell Westbrook,772009,7
2016,Draymond Green,726616,8
2016,Paul George,711595,9
2016,Kyle Lowry,646441,10
2016,Chris Paul,624334,11
2016,Carmelo Anthony,567348,12
2016,Pau Gasol,566988,13
2016,Jimmy Butler,564637,14
2016,Klay Thompson,555513,15
2016,Andre Drummond,515296,16
2016,DeMar DeRozan,444868,17
2016,James Harden,430777,18
2016,Anthony Davis,400688,19
2016,John Wall,368686,20
2016,DeMarcus Cousins,364270,21
2016,Chris Bosh,351420,22
2016,LaMarcus Aldridge,268003,23
2016,Isaiah Thomas,153642,24
2016,Paul Millsap,41654,25
2015,Stephen Curry,1513324,1
2015,LeBron James,1470483,2
2015,Anthony Davis,1369911,3
2015,Kobe Bryant,1152402,4
2015,James Harden,1069368,5
2015,Pau Gasol,974177,6
2015,John Wall,886368,7
2015,Kyle Lowry,805290,8
2015,Marc Gasol,795121,9
2015,Dwyane Wade,789839,10
2015,Blake Griffin,700615,11
2015,Carmelo Anthony,647005,12
2015,Chris Paul,551167,13
2015,Tim Duncan,546817,14
2015,Kevin Durant,545226,15
2015,Chris Bosh,542006,16
2015,Kyrie Irving,535873,17
2015,LaMarcus Aldridge,498131,18
2015,DeMarcus Cousins,465334,19
2015,Jimmy Butler,455756,20
2015,Damian Lillard,365417,21
2015,Klay Thompson,314254,22
2015,Dirk Nowitzki,292557,23
2015,Russell Westbrook,248758,24
2015,Paul Millsap,121938,25
2015,Al Horford,114955,26
2015,Jeff Teague,83900,27
2014,LeBron James,1416419,1
2014,Kevin Durant,1396294,2
2014,Paul George,1211318,3
2014,Stephen Curry,1047281,4
2014,Kobe Bryant,988884,5
2014,Carmelo Anthony,935702,6
2014,Dwyane Wade,929542,7
2014,Kyrie Irving,860221,8
2014,Chris Paul,804309,9
2014,Blake Griffin,688466,10
2014,Kevin Love,661246,11
2014,Dwight Howard,653318,12
2014,LaMarcus Aldridge,609172,13
2014,Roy Hibbert,524809,14
2014,James Harden,470381,15
2014,Chris Bosh,406867,16
2014,John Wall,393129,17
2014,Anthony Davis,286247,18
2014,Damian Lillard,280966,19
2014,Tony Parker,258751,20
2014,Dirk Nowitzki,201873,21
2014,Joakim Noah,181145,22
2014,DeMar DeRozan,131228,23
2013,Kobe Bryant,1591437,1
2013,LeBron James,1583646,2
2013,Kevin Durant,1504047,3
2013,Carmelo Anthony,1460950,4
2013,Dwyane Wade,1052310,5
2013,Chris Paul,929155,6
2013,Rajon Rondo,924180,7
2013,Dwight Howard,922070,8
2013,Blake Griffin,863832,9
2013,Kevin Garnett,553222,10
2013,Chris Bosh,528014,11
2013,Tim Duncan,492373,12
2013,James Harden,485986,13
2013,Tyson Chandler,467968,14
2013,Kyrie Irving,445730,15
2013,Russell Westbrook,376411,16
2013,Joakim Noah,230796,17
2013,Tony Parker,176168,18
2013,LaMarcus Aldridge,160197,19
2013,Zach Randolph,146980,20
2013,Luol Deng,130744,21
2013,Brook Lopez,108978,22
2013,Jrue Holiday,103146,23
2013,Paul George,80060,24
2012,Dwight Howard,1600390,1
2012,Kobe Bryant,1555479,2
2012,Derrick Rose,1514723,3
2012,LeBron James,1360680,4
2012,Kevin Durant,1345566,5
2012,Dwyane Wade,1334223,6
2012,Chris Paul,1138743,7
